BALANZA COMERCIAL Y BALANZA DE PAGOS (1) (2) (3);;;;;;;;;;;;;;
(Millones de dólares fob);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Exportaciones;;Importaciones;;Saldo de la Balanza Comercial;;Saldo de la Balanza de Pagos;;;;;;
Año;Mes;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;;;;;
;;;;;;;;;;;;;;
;Abril;5.062;20.133;4.305;17.321;757;2.812;262;400;;;;;
;Mayo;5.101;25.234;4.565;21.887;536;3.348;354;753;;;;;
;Junio ;4.647;29.881;4.309;26.196;337;3.685;-371;382;;;;;
;Julio ;4.600;34.481;4.697;30.893;-98;3.587;-221;160;;;;;
;Agosto ;4.977;39.458;5.272;36.165;-294;3.293;-356;-196;;;;;
;Septiembre ;4.939;44.397;4.746;40.911;193;3.486;276;80;;;;;
;Octubre ;4.791;49.188;4.756;45.667;35;3.521;106;186;;;;;
;Noviembre ;5.248;54.436;4.867;50.534;382;3.903;286;472;;;;;
;Diciembre;6.282;60.718;5.321;55.855;961;4.864;1.333;1.805;;;;;
2017;Enero ;5.554;5.554;4.911;4.911;643;643;-1.077;-1.077;;;;;
;Febrero ;4.627;10.181;4.468;9.379;159;802;-235;-1.311;;;;;
;Marzo ;5.495;15.676;5.253;14.632;243;1.044;-675;-1.987;;;;;
;Abril ;5.044;20.721;4.501;19.133;543;1.587;-127;-2.114;;;;;
;Mayo ;5.771;26.491;4.829;23.963;942;2.529;-373;-2.486;;;;;
;Junio ;5.566;32.057;5.304;29.267;261;2.790;-76;-2.562;;;;;
;Julio ;5.453;37.510;5.006;34.273;447;3.237;-877;-3.439;;;;;
;Agosto ;6.231;43.741;5.550;39.823;681;3.918;490;-2.949;;;;;
;Septiembre ;5.875;49.616;5.036;44.858;839;4.757;-1.066;-4.015;;;;;
;Octubre ;6.056;55.672;5.424;50.282;632;5.390;1.740;-2.276;;;;;
;Noviembre ;6.127;61.799;5.533;55.815;594;5.984;-1.482;-3.757;;;;;
;Diciembre ;7.024;68.823;5.657;61.472;1.367;7.351;1.008;-2.750;;;;;
2018;Enero ;6.620;6.620;5.486;5.486;1.134;1.134;-691;-691;;;;;
;Febrero ;6.275;12.895;5.077;10.563;1.198;2.332;-67;-758;;;;;
;Marzo ;6.482;19.377;5.867;16.430;615;2.947;-385;-1.143;;;;;
;Abril ;6.257;25.634;5.484;21.915;773;3.719;-499;-1.642;;;;;
;Mayo;6.466;32.100;6.071;27.986;395;4.114;193;-1.449;;;;;
;Junio ;6.201;38.300;5.976;33.962;224;4.338;-88;-1.536;;;;;
;Julio ;5.972;44.273;5.758;39.720;215;4.553;536;-1.000;;;;;
;Agosto ;6.166;50.438;6.542;46.262;-376;4.176;-809;-1.809;;;;;
;Septiembre ;5.443;55.882;5.546;51.808;-103;4.073;450;-1.359;;;;;
;Octubre ;6.466;62.348;6.874;58.682;-408;3.665;576;-783;;;;;
;Noviembre;5.899;68.247;5.520;64.203;379;4.045;1.953;1.170;;;;;
;Diciembre;6.461;74.708;6.295;70.498;166;4.211;227;1.397;;;;;
2019;Enero ;6.714;6.714;5.650;5.650;1.064;1.064;-1.256;-1.256;;;;;
;Febrero;5.448;12.162;5.274;10.924;174;1.237;-86;-1.341;;;;;
;Marzo;6.080;18.242;5.524;16.449;556;1.793;178;-1.164;;;;;
;Abril ;5.698;23.940;5.347;21.796;350;2.144;-581;-1.745;;;;;
;Mayo ;6.128;30.069;6.013;27.809;115;2.259;-66;-1.811;;;;;
;Junio;5.192;35.260;4.935;32.745;256;2.515;764;-1.047;;;;;
;Julio ;5.613;40.873;5.820;38.564;-207;2.309;-213;-1.260;;;;;
;Agosto ;5.907;46.780;5.817;44.381;90;2.399;-275;-1.534;;;;;
;Septiembre ;5.186;51.966;5.232;49.613;-45;2.353;-251;-1.785;;;;;
;Octubre;5.153;57.119;5.531;55.144;-378;1.975;912;-873;;;;;
;Noviembre ;5.217;62.336;5.299;60.443;-82;1.893;-973;-1.846;;;;;
;Diciembre;6.427;68.763;5.367;65.810;1.059;2.953;1.694;-152;;;;;
2020;Enero;6.510;6.510;5.460;5.460;1.050;1.050;-3.114;-3.114;;;;;
;Febrero;4.972;11.482;4.266;9.725;706;1.757;-1.297;-4.412;;;;;
;Marzo;5.717;17.198;4.394;14.120;1.322;3.079;2.034;-2.377;;;;;
;Abril;5.850;23.048;4.191;18.311;1.659;4.737;-1.084;-3.462;;;;;
;Mayo;5.868;28.917;3.780;22.091;2.089;6.826;-172;-3.633;;;;;
;Junio;6.127;35.044;3.925;26.015;2.203;9.029;-509;-4.143;;;;;
;Julio;6.238;41.282;4.726;30.742;1.512;10.541;-304;-4.447;;;;;
;Agosto;5.779;47.061;4.515;35.257;1.264;11.805;663;-3.784;;;;;
;Septiembre;5.970;53.031;4.626;39.882;1.344;13.149;250;-3.534;;;;;
;Octubre;6.455;59.486;4.829;44.711;1.626;14.775;319;-3.215;;;;;
;Noviembre;6.572;66.058;4.674;49.385;1.898;16.673;-791;-4.005;;;;;
;Diciembre;7.427;73.485;5.731;55.116;1.696;18.369;1.111;-2.895;;;;;
2021;Enero;7.094;7.094;5.350;5.350;1.744;1.744;-111;-111;;;;;
;Febrero ;7.142;14.236;5.720;11.070;1.422;3.166;686;575;;;;;
;Marzo;7.661;21.897;6.870;17.940;791;3.957;880;1.455;;;;;
;Abril ;8.114;30.012;6.075;24.015;2.040;5.997;2.109;3.564;;;;;
;Mayo;7.920;37.932;6.606;30.621;1.314;7.310;4.932;8.497;;;;;
;Junio;7.445;45.377;6.350;36.971;1.095;8.406;-3.122;5.375;;;;;
;;;;;;;;;;;;;;
(1) Cifras provisionales.;;;;;;;;;;;;;;
(2) Las cifras de la balanza comercial representan   exportaciones e importaciones  efectivas de bienes, las que se basan en las directrices generales establecidas en la sexta edición del Manual de Blanaza de Pagos del Fondo Monetario Internacional (FMI). ;;;;;;;;;;;;;;
Para ello se utilizan las estadísticas del Servicio Nacional de Aduanas, a las que se les han hecho ajustes de cobertura y valoración.;;;;;;;;;;;;;;
(3) Corresponde a flujos de reservas internacionales medidos a paridades y precios efectivos, es decir, excluye variaciones en los stocks de reservas producidas por revalorizaciones (cambios en las paridades y en los precios de los activos), por monetización/desmonetización ;;;;;;;;;;;;;;
del oro y por asignación/cancelación de DEG.  La definición de activos de reserva sigue los lineamientos de  la sexta edición del Manual de Balanza de Pagos del Fondo Monetario Internacional.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
