"DTI_CL_ANO","Year","DTI_CL_T064CAT_MINERAS","Mining category","DTI_CL_T065MIN_METAL_NOMETAL","Metallic and non-metallic minerals","Value","Flag Codes","Flags"
"2006","2006","T064002","Medium-scale Mining","T065007","Lead",672,,
"2006","2006","T064002","Medium-scale Mining","T065008","Zinc",36238,,
"2006","2006","T064003","Small-scale mining","T065001","Copper",55799,,
"2006","2006","T064003","Small-scale mining","T065003","Gold",1.84,,
"2006","2006","T064003","Small-scale mining","T065004","Silver",34.79,,
"2006","2006","T064003","Small-scale mining","T065006","Manganese",6102,,
"2007","2007","T064001","Large-scale mining","T065001","Copper",5229276,,
"2007","2007","T064001","Large-scale mining","T065002","Molybdenum",44775,,
"2007","2007","T064001","Large-scale mining","T065003","Gold",25.66,,
"2007","2007","T064001","Large-scale mining","T065004","Silver",1583.18,,
"2007","2007","T064001","Large-scale mining","T065005","Iron",5018741,,
"2007","2007","T064002","Medium-scale Mining","T065001","Copper",292788,,
"2007","2007","T064002","Medium-scale Mining","T065003","Gold",13.9,,
"2007","2007","T064002","Medium-scale Mining","T065004","Silver",327.12,,
"2007","2007","T064002","Medium-scale Mining","T065006","Manganese",3084,,
"2007","2007","T064002","Medium-scale Mining","T065007","Lead",1305,,
"2007","2007","T064002","Medium-scale Mining","T065008","Zinc",36453,,
"2007","2007","T064003","Small-scale mining","T065001","Copper",79665,,
"2007","2007","T064003","Small-scale mining","T065003","Gold",1.97,,
"2007","2007","T064003","Small-scale mining","T065004","Silver",26.16,,
"2007","2007","T064003","Small-scale mining","T065005","Iron",360658,,
"2007","2007","T064003","Small-scale mining","T065006","Manganese",4203,,
"2008","2008","T064001","Large-scale mining","T065001","Copper",5011052,,
"2008","2008","T064001","Large-scale mining","T065002","Molybdenum",33639,,
"2008","2008","T064001","Large-scale mining","T065003","Gold",24.17,,
"2008","2008","T064001","Large-scale mining","T065004","Silver",1003,,
"2008","2008","T064001","Large-scale mining","T065005","Iron",5215030,,
"2008","2008","T064002","Medium-scale Mining","T065001","Copper",264520,,
"2008","2008","T064002","Medium-scale Mining","T065003","Gold",12.91,,
"2008","2008","T064002","Medium-scale Mining","T065004","Silver",367.54,,
"2008","2008","T064002","Medium-scale Mining","T065006","Manganese",2189,,
"2008","2008","T064002","Medium-scale Mining","T065007","Lead",3985,,
"2008","2008","T064002","Medium-scale Mining","T065008","Zinc",40519,,
"2008","2008","T064003","Small-scale mining","T065001","Copper",88004,,
"2008","2008","T064003","Small-scale mining","T065003","Gold",2.08,,
"2008","2008","T064003","Small-scale mining","T065004","Silver",34.49,,
"2008","2008","T064003","Small-scale mining","T065005","Iron",455112,,
"2008","2008","T064003","Small-scale mining","T065006","Manganese",2907,,
"2009","2009","T064001","Large-scale mining","T065001","Copper",5081307,,
"2009","2009","T064001","Large-scale mining","T065002","Molybdenum",34786,,
"2009","2009","T064001","Large-scale mining","T065003","Gold",25.13,,
"2009","2009","T064001","Large-scale mining","T065004","Silver",888.87,,
"2009","2009","T064001","Large-scale mining","T065005","Iron",4630488,,
"2009","2009","T064002","Medium-scale Mining","T065001","Copper",244660,,
"2009","2009","T064002","Medium-scale Mining","T065003","Gold",12.42,,
"2009","2009","T064002","Medium-scale Mining","T065004","Silver",378.86,,
"2009","2009","T064002","Medium-scale Mining","T065006","Manganese",728,,
"2009","2009","T064002","Medium-scale Mining","T065007","Lead",1511,,
"2009","2009","T064002","Medium-scale Mining","T065008","Zinc",27801,,
"2009","2009","T064003","Small-scale mining","T065001","Copper",85877,,
"2009","2009","T064003","Small-scale mining","T065003","Gold",3.28,,
"2009","2009","T064003","Small-scale mining","T065004","Silver",33.29,,
"2009","2009","T064003","Small-scale mining","T065005","Iron",375101,,
"2009","2009","T064003","Small-scale mining","T065006","Manganese",914,,
"2019","2019","T064001","Large-scale mining","T065001","Copper",5623712,,
"2019","2019","T064001","Large-scale mining","T065002","Molybdenum",53541,,
"2019","2019","T064001","Large-scale mining","T065003","Gold",32.49,,
"2019","2019","T064001","Large-scale mining","T065004","Silver",1239.74,,
"2019","2019","T064001","Large-scale mining","T065005","Iron",4648928,,
"2019","2019","T064001","Large-scale mining","T065008","Zinc",5614,,
"2019","2019","T064002","Medium-scale Mining","T065001","Copper",147603,,
"2019","2019","T064002","Medium-scale Mining","T065003","Gold",4.37,,
"2019","2019","T064002","Medium-scale Mining","T065004","Silver",59.47,,
"2019","2019","T064002","Medium-scale Mining","T065005","Iron",3778296,,
"2019","2019","T064002","Medium-scale Mining","T065007","Lead",7,,
"2019","2019","T064002","Medium-scale Mining","T065008","Zinc",6,,
"2019","2019","T064003","Small-scale mining","T065001","Copper",50735,,
"2019","2019","T064003","Small-scale mining","T065003","Gold",1.6,,
"2019","2019","T064003","Small-scale mining","T065004","Silver",10.11,,
