"DTI_CL_ANO","Year","DTI_CL_T065MIN_METAL_NOMETAL","Metallic and non-metallic minerals","Value","Flag Codes","Flags"
"2003","2003","T065029","Talc",840,,
"2003","2003","T065031","Plaster",662259,,
"2003","2003","T065032","Iodine",15580,,
"2004","2004","T065009","Clays",102120,,
"2004","2004","T065010","Baryte",31,,
"2004","2004","T065011","Calcium Carbonate",6516218,,
"2004","2004","T065012","Sodium chloride",4938928,,
"2004","2004","T065014","Boron compounds",602736,,
"2004","2004","T065015","Lithium compounds",44465,,
"2004","2004","T065016","Potassium compounds",920034,,
"2004","2004","T065017","Diatomite",24131,,
"2004","2004","T065018","Dolomite",27436,,
"2004","2004","T065019","Feldspar",4838,,
"2004","2004","T065020","Nitrates",1402366,,
"2004","2004","T065022","Pyrophyllite",2271,,
"2004","2004","T065023","Pumicite",1535228,,
"2004","2004","T065024","Silicon resources",1085412,,
"2004","2004","T065025","Phosphoric rocks",21465,,
"2004","2004","T065026","Ornamental rocks",888,,
"2004","2004","T065027","Copper sulfate",5871,,
"2004","2004","T065028","Sodium sulfate",30622,,
"2004","2004","T065029","Talc",722,,
"2004","2004","T065031","Plaster",630444,,
"2004","2004","T065032","Iodine",14931,,
"2004","2004","T065033","Zeolites",203,,
"2005","2005","T065009","Clays",104755,,
"2005","2005","T065010","Baryte",91,,
"2005","2005","T065011","Calcium Carbonate",6782686,,
"2005","2005","T065012","Sodium chloride",6067583,,
"2005","2005","T065013","Sulfur compounds",4784871,,
"2005","2005","T065014","Boron compounds",469457,,
"2005","2005","T065015","Lithium compounds",44276,,
"2005","2005","T065016","Potassium compounds",895916,,
"2005","2005","T065017","Diatomite",16418,,
"2005","2005","T065018","Dolomite",24903,,
"2005","2005","T065019","Feldspar",5820,,
"2005","2005","T065020","Nitrates",1282815,,
"2005","2005","T065022","Pyrophyllite",3315,,
"2005","2005","T065023","Pumicite",1620099,,
"2005","2005","T065024","Silicon resources",1151443,,
"2005","2005","T065025","Phosphoric rocks",20363,,
"2005","2005","T065026","Ornamental rocks",4841,,
"2005","2005","T065027","Copper sulfate",9659,,
"2005","2005","T065028","Sodium sulfate",15730,,
"2005","2005","T065029","Talc",886,,
"2005","2005","T065031","Plaster",660753,,
"2005","2005","T065032","Iodine",15346,,
"2005","2005","T065033","Zeolites",298,,
"2006","2006","T065009","Clays",164082,,
"2006","2006","T065010","Baryte",375,,
"2006","2006","T065011","Calcium Carbonate",7145280,,
"2006","2006","T065012","Sodium chloride",4580471,,
"2006","2006","T065013","Sulfur compounds",4757046,,
"2006","2006","T065014","Boron compounds",468091,,
"2006","2006","T065015","Lithium compounds",51201,,
"2006","2006","T065016","Potassium compounds",817855,,
"2006","2006","T065017","Diatomite",19104,,
"2006","2006","T065018","Dolomite",24006,,
"2006","2006","T065019","Feldspar",5847,,
"2006","2006","T065020","Nitrates",1111771,,
"2006","2006","T065022","Pyrophyllite",1257,,
"2006","2006","T065023","Pumicite",1423144,,
"2006","2006","T065024","Silicon resources",1081352,,
"2006","2006","T065025","Phosphoric rocks",13836,,
"2006","2006","T065026","Ornamental rocks",12580,,
